"ID","Body_A","Body_L","Body_H","Eye_A","Gape_W","Head_W","InterEye_W","Leg1st_L","Leg3rd_L","InterLeg_W","Thorax_W","Mentum_L"
"G.6.19",56.8572797619048,14.3961428571429,3.29805833333333,0.565392857142857,3.09084761904762,4.5855380952381,3.04782261904762,5.19842380952381,8.89464642857143,3.10310595238095,3.75036547619048,2.33973571428571
"G.6.23",50.1863333333333,13.8183571428571,2.73338571428571,0.416809523809524,2.69275238095238,4.18963333333333,2.92685238095238,4.88080476190476,7.97155714285714,2.51717142857143,3.30087142857143,2.14334285714286
"G.6.30",67.4792575757576,15.4137727272727,4.64631818181818,0.765575757575758,3.86139393939394,5.05780303030303,3.05007575757576,5.37032575757576,9.83998484848485,4.40202272727273,4.70625,2.71312121212121
"G.6.31",81.2624259259259,17.617462962963,4.29418518518519,0.610703703703704,3.95381481481481,5.18346296296296,3.28783333333333,6.169,9.54042592592593,4.23848148148148,4.83574074074074,3.01283333333333
"G.6.32",68.1850166666667,15.6748,4.20265,0.5477,3.60095,4.94246666666667,3.3255,5.92705,10.4805,3.99163333333333,4.40151666666667,2.4269
"G.6.33",37.1245714285714,12.1612857142857,2.3445619047619,0.341761904761905,2.30899523809524,3.80773333333333,2.7779380952381,4.32450952380952,7.58262380952381,2.0353,2.75697142857143,1.81812380952381
"G.6.36",68.0626844444444,16.4938555555556,3.5171,0.684853333333333,3.46303111111111,4.93830666666667,3.06027777777778,5.78408666666667,8.34403111111111,3.3354,4.11365111111111,2.89211333333333
"G.6.39",77.3670357142857,17.2732619047619,3.95720238095238,0.612047619047619,3.73502380952381,5.15417857142857,3.33403571428571,6.29577380952381,9.61935714285714,3.85969047619048,4.53638095238095,2.87136904761905
"G.6.44",51.6313111111111,13.9435111111111,3.19586666666667,0.474377777777778,2.86828888888889,4.27648888888889,2.90728888888889,4.94397777777778,8.34745555555556,2.89002222222222,3.54715555555556,2.13388888888889
"G.7.6",41.80962,13.5860333333333,2.84906666666667,0.48796,2.64339333333333,4.08052,2.72223333333333,4.77672666666667,7.38449333333333,2.3789,3.06168666666667,2.15240666666667
"G.7.7",52.4906116666667,15.5348166666667,3.67447,0.405651666666667,2.97842833333333,4.20028833333333,2.86828833333333,5.39488166666667,8.21399166666667,3.05877833333333,3.65681333333333,2.31094666666667
